product_id,category,subcategory,brand,unit_size,unit_measure,mrp,supplier_id,shelf_life_days,import_flag
P00031,Toys & Stationery,Notebooks,Hot Wheels,1 pc,pcs,1168.74,SUP013,0,Domestic
P00032,Toys & Stationery,Notebooks,Hot Wheels,Set of 5,pcs,863.01,SUP010,0,Domestic
P00033,Apparel,Kids Wear,MinCloud,L,pcs,970.01,SUP023,0,Domestic
P00034,Footwear,Kids Footwear,Fiesta,Free Size,pcs,2150.03,SUP004,0,Domestic
P00035,Apparel,Men's Wear,MinCloud,XL,pcs,258.82,SUP066,0,Domestic
P00036,Home & Kitchen,Appliances,Tupperware,Set of 6,pcs,3929.58,SUP110,0,Domestic
P00037,Personal Care,Bath & Body,HUL,250g,g,262.46,SUP113,408,Domestic
P00038,Grocery,Rice,Fortune,500g,g,709.05,SUP086,153,Domestic
P00039,Home & Kitchen,Utensils,Milton,500ml,L,482.46,SUP014,0,Domestic
P00040,Footwear,Men's Footwear,Fiesta,UK7,pcs,2410.53,SUP041,0,Domestic
P00041,Electronics,Small Appliances,Bajaj,1 pc,pcs,5680.95,SUP033,0,Domestic
P00042,Grocery,Edible Oil,Fortune,5L,L,509.19,SUP037,338,Domestic
P00043,Personal Care,Skincare,Colgate-Palmolive,50ml,L,29.84,SUP107,596,Domestic
P00044,Footwear,Men's Footwear,Relaxo,UK7,pcs,1770.08,SUP003,0,Domestic
P00045,Personal Care,Oral Care,P&G,200ml,L,628.03,SUP009,988,Domestic
P00046,Personal Care,Skincare,HUL,50ml,L,224.64,SUP113,686,Domestic
P00047,FMCG,Bakery,Haldiram's,100g,g,390.9,SUP016,245,Domestic
P00048,Toys & Stationery,Art Supplies,Classmate,1 pc,pcs,21.23,SUP044,0,Imported
P00049,Apparel,Nightwear,MinCloud,S,pcs,182.55,SUP017,0,Domestic
P00050,Personal Care,Bath & Body,L'Oreal,150g,g,558.69,SUP116,482,Domestic
P00051,Home & Kitchen,Cookware,Milton,500ml,L,2818.76,SUP120,0,Domestic
P00052,FMCG,Dairy,Haldiram's,6 pcs,pcs,330.26,SUP098,7,Domestic
P00053,Toys & Stationery,School Bags,Hot Wheels,1 pc,pcs,917.08,SUP049,0,Domestic
P00054,Apparel,Men's Wear,PUP,S,pcs,1097.35,SUP119,0,Domestic
P00055,Home & Kitchen,Utensils,Prestige,1L,L,3525.65,SUP048,0,Domestic
P00056,Personal Care,Bath & Body,Patanjali,150g,g,526.01,SUP046,925,Domestic
P00057,Home & Kitchen,Storage & Containers,Cello,1L,L,1391.93,SUP098,0,Domestic
P00058,Grocery,Spices,Dmart Premia (Own Brand),5L,L,308.3,SUP090,178,Domestic
P00059,Footwear,Men's Footwear,Dmart Fashion,UK8,pcs,326.02,SUP065,0,Imported
P00060,Toys & Stationery,School Bags,Classmate,Set of 5,pcs,665.94,SUP101,0,Domestic
P00061,Toys & Stationery,School Bags,Hot Wheels,Set of 5,pcs,159.95,SUP084,0,Domestic
P00062,Home & Kitchen,Appliances,Dmart Premia (Own Brand),Set of 6,pcs,1740.31,SUP069,0,Domestic
P00063,Footwear,Kids Footwear,Ortho+Rest,UK7,pcs,1819.99,SUP011,0,Domestic
P00064,Personal Care,Oral Care,HUL,100ml,L,239.06,SUP084,646,Domestic
P00065,Electronics,Batteries,Havells,Pack of 2,pcs,290.62,SUP064,0,Domestic
P00066,Grocery,Spices,Fortune,1L,L,705.47,SUP018,136,Domestic
P00067,Electronics,Mobile Accessories,Havells,Pack of 4,pcs,3940.72,SUP057,0,Imported
P00068,Grocery,Edible Oil,India Gate,1L,L,350.04,SUP077,302,Domestic
P00069,Apparel,Kids Wear,PUP,M,pcs,1879.4,SUP021,0,Domestic
P00070,Personal Care,Oral Care,HUL,150g,g,204.12,SUP116,774,Domestic
P00071,Apparel,Nightwear,Adore,Free Size,pcs,1388.13,SUP064,0,Domestic
P00072,Electronics,Batteries,Bajaj,Pack of 4,pcs,3007.85,SUP101,0,Domestic
P00073,Footwear,Women's Footwear,Bata,UK7,pcs,271.95,SUP062,0,Domestic
P00074,Home & Kitchen,Utensils,Milton,Set of 3,pcs,2669.8,SUP030,0,Domestic
P00075,Footwear,Kids Footwear,Fiesta,UK6,pcs,1527.58,SUP006,0,Domestic
P00076,Apparel,Nightwear,Divena,Free Size,pcs,939.74,SUP078,0,Domestic
P00077,Grocery,Rice,MDH,5kg,g,354.54,SUP080,183,Domestic
P00078,Personal Care,Bath & Body,L'Oreal,150g,g,184.15,SUP033,519,Domestic
P00079,FMCG,Bakery,Amul,2L,L,309.95,SUP053,124,Domestic
P00080,Apparel,Nightwear,Adore,S,pcs,887.56,SUP115,0,Domestic
P00081,Home & Kitchen,Utensils,Prestige,Set of 3,pcs,2739.73,SUP032,0,Domestic
P00082,Electronics,Lighting,boAt,Pack of 2,pcs,2038.62,SUP009,0,Domestic
P00083,Electronics,Lighting,Philips,Pack of 2,pcs,2669.11,SUP089,0,Domestic
P00084,FMCG,Dairy,ITC,250ml,L,188.56,SUP098,160,Domestic
P00085,Grocery,Spices,MDH,10kg,g,501.06,SUP078,326,Domestic
P00086,Apparel,Nightwear,Divena,Free Size,pcs,643.35,SUP071,0,Domestic
P00087,Electronics,Batteries,Philips,1 pc,pcs,765.61,SUP110,0,Domestic
P00088,Personal Care,Haircare,Dabur,150g,g,262.22,SUP114,901,Domestic
P00089,Footwear,Men's Footwear,Bata,UK9,pcs,207.89,SUP015,0,Domestic
P00090,Home & Kitchen,Storage & Containers,Dmart Premia (Own Brand),1L,L,328.8,SUP083,0,Domestic
P00091,Electronics,Small Appliances,Eveready,Pack of 4,pcs,4119.11,SUP054,0,Domestic
P00092,Grocery,Pulses,Dmart Premia (Own Brand),10kg,g,644.81,SUP025,145,Domestic
P00093,Personal Care,Oral Care,Dabur,250g,g,280.78,SUP055,527,Imported
P00094,Footwear,Kids Footwear,Dmart Fashion,UK9,pcs,748.79,SUP065,0,Domestic
P00095,FMCG,Bakery,PepsiCo,100g,g,170.85,SUP077,233,Domestic
P00096,FMCG,Beverages,PepsiCo,2L,L,158.02,SUP033,27,Domestic
P00097,Footwear,Kids Footwear,Dmart Fashion,UK7,pcs,1310.82,SUP090,0,Domestic
P00098,Footwear,Women's Footwear,Relaxo,UK9,pcs,2372.68,SUP041,0,Domestic
P00099,Electronics,Small Appliances,boAt,Pack of 2,pcs,4222.37,SUP097,0,Domestic
P00100,Apparel,Kids Wear,Adore,S,pcs,1368.76,SUP067,0,Imported
P00101,Footwear,Women's Footwear,Relaxo,UK9,pcs,1528.49,SUP052,0,Domestic
P00102,Personal Care,Oral Care,Patanjali,200ml,L,558.44,SUP049,516,Domestic
P00103,Electronics,Lighting,Havells,1 pc,pcs,4130.63,SUP117,0,Domestic
P00104,Home & Kitchen,Appliances,Cello,500ml,L,1584.54,SUP031,0,Domestic
P00105,Footwear,Women's Footwear,Relaxo,UK7,pcs,2214.32,SUP040,0,Domestic
P00106,Footwear,Men's Footwear,Bata,UK8,pcs,445.26,SUP015,0,Domestic
P00107,Apparel,Nightwear,Adore,L,pcs,1449.89,SUP026,0,Domestic
P00108,Footwear,Kids Footwear,Ortho+Rest,UK8,pcs,1310.93,SUP096,0,Domestic
P00109,Electronics,Mobile Accessories,Havells,1 pc,pcs,5056.45,SUP030,0,Domestic
P00110,Electronics,Lighting,boAt,1 pc,pcs,806.18,SUP011,0,Domestic
P00111,Footwear,Kids Footwear,Bata,UK7,pcs,622.82,SUP003,0,Domestic
P00112,Footwear,Kids Footwear,Dmart Fashion,UK6,pcs,298.66,SUP102,0,Domestic
P00113,FMCG,Dairy,ITC,6 pcs,pcs,262.81,SUP005,35,Domestic
P00114,Toys & Stationery,Pens & Pencils,Dmart Premia (Own Brand),1 pc,pcs,47.91,SUP033,0,Domestic
P00115,Footwear,Kids Footwear,Ortho+Rest,UK6,pcs,1026.34,SUP044,0,Domestic
P00116,Grocery,Rice,MDH,5kg,g,495.88,SUP051,271,Domestic
P00117,FMCG,Packaged Food,Parle,6 pcs,pcs,265.79,SUP022,105,Domestic
P00118,FMCG,Packaged Food,Dmart Premia (Own Brand),2L,L,150.0,SUP096,84,Domestic
P00119,Toys & Stationery,Notebooks,Hot Wheels,Set of 5,pcs,251.8,SUP115,0,Domestic
P00120,Toys & Stationery,School Bags,Classmate,Set of 5,pcs,476.84,SUP019,0,Imported
P00121,Grocery,Spices,Tata,5kg,g,813.42,SUP087,330,Imported
P00122,Toys & Stationery,Pens & Pencils,Classmate,Pack of 10,pcs,561.91,SUP112,0,Domestic
P00123,Footwear,Women's Footwear,Dmart Fashion,Free Size,pcs,1523.61,SUP010,0,Domestic
P00124,Grocery,Rice,Fortune,1L,L,34.13,SUP096,211,Domestic
P00125,Personal Care,Skincare,Dabur,200ml,L,140.18,SUP007,416,Domestic
P00126,Personal Care,Skincare,Colgate-Palmolive,200ml,L,170.0,SUP117,532,Domestic
P00127,Grocery,Spices,Tata,500g,g,476.89,SUP017,279,Domestic
P00128,Personal Care,Bath & Body,Patanjali,50ml,L,218.7,SUP117,667,Domestic
P00129,Footwear,Kids Footwear,Relaxo,UK7,pcs,333.64,SUP107,0,Domestic
P00130,Electronics,Lighting,Philips,Pack of 2,pcs,1574.29,SUP039,0,Domestic
P00131,Toys & Stationery,Art Supplies,Classmate,1 pc,pcs,900.84,SUP032,0,Domestic
P00132,Home & Kitchen,Cookware,Milton,1L,L,2344.77,SUP098,0,Domestic
P00133,FMCG,Dairy,Britannia,500g,g,68.51,SUP086,173,Domestic
P00134,FMCG,Beverages,PepsiCo,500ml,L,337.16,SUP050,243,Imported
P00135,Toys & Stationery,Notebooks,Funskool,Pack of 10,pcs,1165.18,SUP048,0,Imported
P00136,Home & Kitchen,Utensils,Pigeon,500ml,L,987.95,SUP080,0,Imported
P00137,Toys & Stationery,School Bags,Hot Wheels,Set of 5,pcs,733.36,SUP103,0,Imported
P00138,Personal Care,Skincare,P&G,250g,g,62.46,SUP041,452,Domestic
P00139,Home & Kitchen,Cleaning Supplies,Milton,Set of 3,pcs,4289.07,SUP005,0,Domestic
P00140,Toys & Stationery,School Bags,Camlin,Set of 5,pcs,1009.82,SUP004,0,Domestic
P00141,Home & Kitchen,Cleaning Supplies,Milton,1L,L,3796.21,SUP038,0,Domestic
P00142,Toys & Stationery,Pens & Pencils,Hot Wheels,1 pc,pcs,475.87,SUP082,0,Domestic
P00143,Apparel,Women's Wear,Divena,XL,pcs,1462.26,SUP070,0,Domestic
P00144,Footwear,Women's Footwear,Ortho+Rest,UK8,pcs,2378.04,SUP032,0,Domestic
P00145,Home & Kitchen,Storage & Containers,Tupperware,Set of 6,pcs,1802.26,SUP040,0,Domestic
P00146,Toys & Stationery,School Bags,Funskool,1 pc,pcs,480.27,SUP071,0,Domestic
P00147,Electronics,Mobile Accessories,Philips,1 pc,pcs,5202.27,SUP006,0,Domestic
P00148,Home & Kitchen,Utensils,Prestige,Set of 3,pcs,848.65,SUP101,0,Domestic
P00149,Apparel,Nightwear,PUP,L,pcs,1871.63,SUP082,0,Domestic
P00150,Footwear,Men's Footwear,Dmart Fashion,UK7,pcs,1791.02,SUP066,0,Domestic
P00151,Home & Kitchen,Appliances,Dmart Premia (Own Brand),1L,L,3193.15,SUP002,0,Imported
P00152,Apparel,Men's Wear,Divena,M,pcs,1461.81,SUP037,0,Domestic
P00153,FMCG,Bakery,Parle,200g,g,222.2,SUP091,171,Imported
P00154,Personal Care,Skincare,HUL,50ml,L,303.74,SUP016,988,Imported
P00155,FMCG,Dairy,Parle,250ml,L,98.56,SUP054,101,Imported
P00156,FMCG,Dairy,Coca-Cola,50g,g,104.59,SUP118,141,Imported
P00157,Apparel,Women's Wear,MinCloud,XL,pcs,291.28,SUP093,0,Domestic
P00158,Grocery,Edible Oil,Everest,5L,L,180.5,SUP029,348,Domestic
P00159,FMCG,Snacks,Nestle,1L,L,113.17,SUP053,19,Imported
P00160,FMCG,Snacks,PepsiCo,1kg,g,216.31,SUP028,22,Domestic
P00161,Toys & Stationery,Art Supplies,Classmate,Pack of 10,pcs,975.09,SUP022,0,Domestic
P00162,Grocery,Spices,India Gate,500g,g,256.16,SUP101,351,Domestic
P00163,Personal Care,Bath & Body,Dabur,100ml,L,200.62,SUP114,1027,Domestic
P00164,Toys & Stationery,Toys,Hot Wheels,Pack of 10,pcs,760.68,SUP029,0,Domestic
P00165,Home & Kitchen,Storage & Containers,Tupperware,Set of 3,pcs,2646.06,SUP046,0,Domestic
P00166,Toys & Stationery,Toys,Dmart Premia (Own Brand),Pack of 10,pcs,469.11,SUP094,0,Domestic
P00167,Footwear,Men's Footwear,Relaxo,Free Size,pcs,1693.41,SUP053,0,Domestic
P00168,FMCG,Packaged Food,Parle,2L,L,110.78,SUP051,19,Domestic
P00169,FMCG,Snacks,Nestle,1L,L,136.15,SUP034,46,Domestic
P00170,Personal Care,Haircare,Himalaya,100ml,L,433.26,SUP071,832,Domestic
P00171,Toys & Stationery,Notebooks,Classmate,Pack of 10,pcs,129.52,SUP027,0,Domestic
P00172,Apparel,Innerwear,Divena,L,pcs,1303.24,SUP107,0,Imported
P00173,Personal Care,Cosmetics,Himalaya,100ml,L,187.8,SUP042,556,Domestic
P00174,Apparel,Kids Wear,Dmart Fashion,M,pcs,560.34,SUP049,0,Domestic
P00175,Footwear,Kids Footwear,Relaxo,UK8,pcs,664.56,SUP118,0,Domestic
P00176,Electronics,Batteries,Eveready,Pack of 4,pcs,3573.06,SUP024,0,Domestic
P00177,FMCG,Confectionery,Dmart Premia (Own Brand),500ml,L,232.95,SUP034,170,Domestic
P00178,Home & Kitchen,Utensils,Milton,1L,L,2341.61,SUP091,0,Domestic
P00179,Apparel,Women's Wear,Dmart Fashion,Free Size,pcs,840.7,SUP060,0,Domestic
P00180,Apparel,Kids Wear,PUP,S,pcs,1721.6,SUP081,0,Domestic
P00181,Footwear,Kids Footwear,Dmart Fashion,Free Size,pcs,1393.04,SUP094,0,Domestic
P00182,Grocery,Pulses,India Gate,5L,L,49.12,SUP102,145,Imported
P00183,Personal Care,Bath & Body,Himalaya,250g,g,275.17,SUP081,584,Domestic
P00184,Personal Care,Cosmetics,Himalaya,100ml,L,314.33,SUP091,1066,Imported
P00185,Footwear,Kids Footwear,Relaxo,UK7,pcs,343.72,SUP029,0,Domestic
P00186,Grocery,Edible Oil,Aashirvaad,5kg,g,736.41,SUP038,350,Domestic
P00187,Personal Care,Haircare,HUL,250g,g,205.88,SUP017,666,Domestic
P00188,Grocery,Atta & Flour,Aashirvaad,5L,L,600.33,SUP028,131,Domestic
P00189,Apparel,Nightwear,Adore,XL,pcs,1802.41,SUP119,0,Domestic
P00190,Toys & Stationery,Notebooks,Funskool,Set of 5,pcs,490.64,SUP081,0,Domestic
P00191,FMCG,Confectionery,Parle,6 pcs,pcs,152.17,SUP114,9,Domestic
P00192,Home & Kitchen,Cookware,Tupperware,1 pc,pcs,1820.98,SUP063,0,Domestic
P00193,Home & Kitchen,Cookware,Prestige,1L,L,3766.63,SUP088,0,Domestic
P00194,Electronics,Small Appliances,Syska,Pack of 4,pcs,1533.53,SUP002,0,Domestic
P00195,Apparel,Kids Wear,Adore,S,pcs,1679.89,SUP011,0,Imported
P00196,Toys & Stationery,Art Supplies,Funskool,Pack of 10,pcs,1214.07,SUP080,0,Domestic
P00197,Footwear,Kids Footwear,Fiesta,Free Size,pcs,560.02,SUP059,0,Imported
P00198,Footwear,Kids Footwear,Dmart Fashion,UK7,pcs,1053.38,SUP103,0,Domestic
P00199,Footwear,Kids Footwear,Dmart Fashion,UK9,pcs,1285.75,SUP039,0,Domestic
P00200,Home & Kitchen,Storage & Containers,Prestige,Set of 6,pcs,564.22,SUP018,0,Domestic
P00201,Home & Kitchen,Storage & Containers,Dmart Premia (Own Brand),1 pc,pcs,1198.34,SUP042,0,Domestic
P00202,Toys & Stationery,School Bags,Classmate,Set of 5,pcs,21.09,SUP096,0,Domestic
P00203,Home & Kitchen,Utensils,Pigeon,1 pc,pcs,109.6,SUP034,0,Domestic
P00204,Toys & Stationery,Art Supplies,Classmate,Set of 5,pcs,292.52,SUP092,0,Domestic
P00205,Electronics,Batteries,Bajaj,Pack of 2,pcs,4019.7,SUP084,0,Domestic
P00206,FMCG,Confectionery,PepsiCo,2L,L,133.3,SUP004,89,Domestic
P00207,Toys & Stationery,Notebooks,Funskool,Set of 5,pcs,1194.26,SUP090,0,Domestic
P00208,Personal Care,Bath & Body,Dabur,250g,g,392.31,SUP094,391,Domestic
P00209,Toys & Stationery,Pens & Pencils,Dmart Premia (Own Brand),Pack of 10,pcs,911.49,SUP026,0,Domestic
P00210,Footwear,Kids Footwear,Relaxo,UK8,pcs,640.08,SUP116,0,Domestic
P00211,FMCG,Packaged Food,Haldiram's,100g,g,277.13,SUP045,59,Domestic
P00212,FMCG,Snacks,Nestle,1kg,g,73.84,SUP041,199,Domestic
P00213,Footwear,Kids Footwear,Fiesta,UK8,pcs,1373.51,SUP100,0,Domestic
P00214,Footwear,Men's Footwear,Ortho+Rest,UK6,pcs,315.72,SUP050,0,Domestic
P00215,Toys & Stationery,Art Supplies,Dmart Premia (Own Brand),Pack of 10,pcs,687.32,SUP024,0,Domestic
P00216,FMCG,Packaged Food,PepsiCo,100g,g,359.26,SUP020,8,Domestic
P00217,Footwear,Kids Footwear,Bata,UK8,pcs,1056.65,SUP108,0,Domestic
P00218,Toys & Stationery,School Bags,Classmate,1 pc,pcs,440.95,SUP091,0,Domestic
P00219,Personal Care,Oral Care,P&G,150g,g,164.02,SUP049,1012,Domestic
P00220,Apparel,Kids Wear,Adore,XL,pcs,1696.35,SUP047,0,Domestic
P00221,Home & Kitchen,Appliances,Bajaj,1 pc,pcs,575.73,SUP068,0,Domestic
P00222,Apparel,Men's Wear,Adore,M,pcs,1949.71,SUP068,0,Domestic
P00223,Home & Kitchen,Cleaning Supplies,Bajaj,1 pc,pcs,2013.23,SUP081,0,Domestic
P00224,FMCG,Packaged Food,Nestle,50g,g,220.63,SUP066,181,Domestic
P00225,Electronics,Batteries,boAt,Pack of 4,pcs,3046.54,SUP082,0,Domestic
P00226,Apparel,Kids Wear,PUP,XL,pcs,1675.82,SUP112,0,Domestic
P00227,Personal Care,Bath & Body,Patanjali,250g,g,484.69,SUP083,1059,Domestic
P00228,Personal Care,Bath & Body,Himalaya,100ml,L,84.95,SUP100,579,Imported
P00229,Toys & Stationery,School Bags,Classmate,Set of 5,pcs,130.56,SUP002,0,Domestic
P00230,Electronics,Lighting,Syska,Pack of 2,pcs,2087.95,SUP117,0,Domestic
P00231,Apparel,Innerwear,Divena,M,pcs,1932.57,SUP022,0,Domestic
P00232,FMCG,Beverages,Britannia,1kg,g,261.66,SUP079,239,Domestic
P00233,Electronics,Mobile Accessories,Philips,Pack of 2,pcs,5627.32,SUP096,0,Domestic
P00234,Footwear,Kids Footwear,Relaxo,UK7,pcs,938.43,SUP111,0,Domestic
P00235,Electronics,Batteries,Bajaj,1 pc,pcs,4095.28,SUP053,0,Domestic
P00236,Personal Care,Bath & Body,Patanjali,250g,g,86.38,SUP019,1071,Imported
P00237,Apparel,Men's Wear,Divena,S,pcs,1910.56,SUP066,0,Domestic
P00238,Footwear,Kids Footwear,Bata,UK6,pcs,1706.7,SUP111,0,Domestic
P00239,Personal Care,Cosmetics,Colgate-Palmolive,200ml,L,364.98,SUP047,381,Domestic
P00240,Footwear,Women's Footwear,Relaxo,UK7,pcs,1229.67,SUP098,0,Domestic
P00241,Home & Kitchen,Appliances,Prestige,1 pc,pcs,1118.9,SUP034,0,Domestic
P00242,Home & Kitchen,Cleaning Supplies,Prestige,Set of 3,pcs,3666.91,SUP100,0,Domestic
P00243,Grocery,Edible Oil,Everest,1L,L,703.08,SUP062,241,Domestic
P00244,Toys & Stationery,Art Supplies,Classmate,1 pc,pcs,923.6,SUP096,0,Domestic
P00245,Apparel,Nightwear,PUP,L,pcs,1791.08,SUP076,0,Domestic
P00246,Apparel,Men's Wear,Dmart Fashion,S,pcs,1178.82,SUP110,0,Domestic
P00247,Toys & Stationery,Toys,Dmart Premia (Own Brand),Pack of 10,pcs,218.74,SUP049,0,Domestic
P00248,Footwear,Women's Footwear,Fiesta,UK7,pcs,751.6,SUP069,0,Imported
P00249,Apparel,Nightwear,Adore,M,pcs,1127.31,SUP036,0,Domestic
P00250,Toys & Stationery,Pens & Pencils,Camlin,1 pc,pcs,1207.1,SUP068,0,Domestic
P00251,Toys & Stationery,Pens & Pencils,Classmate,1 pc,pcs,805.96,SUP089,0,Domestic
P00252,Toys & Stationery,Pens & Pencils,Funskool,Set of 5,pcs,1085.03,SUP017,0,Domestic
P00253,Grocery,Spices,Dmart Premia (Own Brand),1L,L,260.3,SUP078,254,Domestic
P00254,Toys & Stationery,Toys,Dmart Premia (Own Brand),Pack of 10,pcs,962.87,SUP098,0,Domestic
P00255,FMCG,Beverages,Dmart Premia (Own Brand),1L,L,110.26,SUP069,32,Domestic
P00256,FMCG,Beverages,Amul,6 pcs,pcs,143.34,SUP104,264,Domestic
P00257,Footwear,Kids Footwear,Bata,Free Size,pcs,1720.76,SUP090,0,Domestic
P00258,Personal Care,Bath & Body,Colgate-Palmolive,200ml,L,504.38,SUP096,526,Domestic
P00259,Personal Care,Bath & Body,Patanjali,200ml,L,227.48,SUP105,1029,Domestic
P00260,Home & Kitchen,Storage & Containers,Dmart Premia (Own Brand),1L,L,1186.13,SUP056,0,Domestic
P00261,Personal Care,Bath & Body,Patanjali,250g,g,493.66,SUP043,697,Domestic
P00262,Footwear,Kids Footwear,Dmart Fashion,Free Size,pcs,1119.48,SUP097,0,Imported
P00263,Grocery,Edible Oil,MDH,500g,g,256.21,SUP075,167,Domestic
P00264,Home & Kitchen,Cleaning Supplies,Prestige,Set of 3,pcs,2450.83,SUP064,0,Domestic
P00265,Electronics,Lighting,Philips,Pack of 2,pcs,2654.6,SUP017,0,Domestic
P00266,Toys & Stationery,Art Supplies,Classmate,Set of 5,pcs,66.1,SUP043,0,Domestic
P00267,Home & Kitchen,Storage & Containers,Prestige,Set of 3,pcs,3004.34,SUP093,0,Domestic
P00268,Footwear,Women's Footwear,Ortho+Rest,UK8,pcs,1432.58,SUP025,0,Domestic
P00269,Personal Care,Haircare,Patanjali,150g,g,307.78,SUP005,848,Domestic
P00270,Footwear,Women's Footwear,Fiesta,Free Size,pcs,554.38,SUP020,0,Domestic
P00271,Footwear,Women's Footwear,Dmart Fashion,UK6,pcs,463.6,SUP092,0,Domestic
P00272,Apparel,Women's Wear,MinCloud,Free Size,pcs,1493.19,SUP022,0,Imported
P00273,Grocery,Edible Oil,Aashirvaad,1kg,g,621.2,SUP042,278,Domestic
P00274,Electronics,Mobile Accessories,Syska,Pack of 4,pcs,2495.28,SUP029,0,Domestic
P00275,Apparel,Women's Wear,Divena,M,pcs,1327.64,SUP001,0,Domestic
P00276,FMCG,Dairy,Haldiram's,200g,g,163.03,SUP065,4,Domestic
P00277,Grocery,Rice,India Gate,5L,L,79.94,SUP039,142,Domestic
P00278,Toys & Stationery,Notebooks,Hot Wheels,Pack of 10,pcs,329.34,SUP002,0,Domestic
P00279,Footwear,Men's Footwear,Fiesta,UK9,pcs,2452.25,SUP114,0,Domestic
P00280,Grocery,Pulses,Tata,1kg,g,192.51,SUP059,271,Domestic
P00281,Electronics,Mobile Accessories,Havells,1 pc,pcs,1706.8,SUP042,0,Imported
P00282,Toys & Stationery,School Bags,Classmate,Set of 5,pcs,598.92,SUP079,0,Domestic
P00283,Personal Care,Oral Care,Colgate-Palmolive,250g,g,70.22,SUP042,392,Imported
P00284,Home & Kitchen,Cookware,Cello,1 pc,pcs,3307.21,SUP028,0,Domestic
P00285,Footwear,Kids Footwear,Relaxo,UK9,pcs,511.27,SUP084,0,Domestic
P00286,Apparel,Innerwear,Adore,Free Size,pcs,604.54,SUP049,0,Domestic
P00287,Electronics,Batteries,Havells,1 pc,pcs,4959.02,SUP004,0,Domestic
P00288,Apparel,Women's Wear,Dmart Fashion,S,pcs,214.36,SUP070,0,Domestic
P00289,Home & Kitchen,Storage & Containers,Milton,Set of 6,pcs,826.51,SUP044,0,Domestic
P00290,Home & Kitchen,Storage & Containers,Milton,Set of 6,pcs,1023.24,SUP041,0,Domestic
P00291,Home & Kitchen,Cookware,Cello,Set of 6,pcs,270.05,SUP016,0,Domestic
P00292,Grocery,Pulses,MDH,1L,L,144.19,SUP095,196,Domestic
P00293,Home & Kitchen,Cookware,Pigeon,1 pc,pcs,957.34,SUP011,0,Domestic
P00294,Apparel,Nightwear,Dmart Fashion,L,pcs,1060.98,SUP097,0,Domestic
P00295,Personal Care,Bath & Body,Himalaya,150g,g,649.62,SUP119,1003,Domestic
P00296,FMCG,Snacks,Dmart Premia (Own Brand),500g,g,97.11,SUP064,7,Domestic
