store_id,store_name,city,district,state,opening_date,store_type,area_sqft,manager_id,latitude,longitude
ST00024,Dmart Satara - Hypermarket 24,Satara,Satara,Maharashtra,2007-07-15,Hypermarket,57060,MGR0148,17.733266,74.06762
ST00025,Dmart Palghar - Express 25,Palghar,Palghar,Maharashtra,2016-07-25,Express,2518,MGR0103,19.766667,72.711737
ST00026,Dmart Chandrapur - Mini-mart 26,Chandrapur,Chandrapur,Maharashtra,2007-11-03,Mini-mart,14724,MGR0299,20.024027,79.359051
ST00027,Dmart Pune - Mini-mart 27,Pune,Pune,Maharashtra,2011-08-12,Mini-mart,6199,MGR0150,18.455515,73.896186
ST00028,Dmart Akola - Express 28,Akola,Akola,Maharashtra,2005-02-02,Express,2343,MGR0332,20.644725,76.956883
ST00029,Dmart Sangli - Express 29,Sangli,Sangli,Maharashtra,2010-04-27,Express,2187,MGR0311,16.927892,74.581619
ST00030,Dmart Latur - Hypermarket 30,Latur,Latur,Maharashtra,2010-02-01,Hypermarket,30036,MGR0271,18.348293,76.561413
ST00031,Dmart Raigad - Mini-mart 31,Raigad,Raigad,Maharashtra,2021-10-01,Mini-mart,9753,MGR0286,18.554037,73.123169
ST00032,Dmart Latur - Express 32,Latur,Latur,Maharashtra,2023-04-04,Express,2891,MGR0195,18.434858,76.6333
ST00033,Dmart Jalgaon - Express 33,Jalgaon,Jalgaon,Maharashtra,2016-07-05,Express,1587,MGR0253,20.944644,75.505054
ST00034,Dmart Osmanabad - Express 34,Osmanabad,Osmanabad,Maharashtra,2008-12-20,Express,3586,MGR0321,18.180781,76.087462
ST00035,Dmart Buldhana - Hypermarket 35,Buldhana,Buldhana,Maharashtra,2009-10-13,Hypermarket,25624,MGR0093,20.534123,76.197863
ST00036,Dmart Raigad - Mini-mart 36,Raigad,Raigad,Maharashtra,2007-05-26,Mini-mart,8608,MGR0170,18.540109,73.240999
ST00037,Dmart Solapur - Hypermarket 37,Solapur,Solapur,Maharashtra,2023-09-23,Hypermarket,40886,MGR0326,17.596744,75.837049
ST00038,Dmart Ahmednagar - Hypermarket 38,Ahmednagar,Ahmednagar,Maharashtra,2011-04-25,Hypermarket,45805,MGR0058,19.162555,74.696085
ST00039,Dmart Pimpri-Chinchwad - Hypermarket 39,Pimpri-Chinchwad,Pune,Maharashtra,2015-01-20,Hypermarket,34965,MGR0023,18.577743,73.728241
ST00040,Dmart Latur - Mini-mart 40,Latur,Latur,Maharashtra,2020-04-27,Mini-mart,13227,MGR0202,18.468801,76.616581
ST00041,Dmart Chandrapur - Hypermarket 41,Chandrapur,Chandrapur,Maharashtra,2009-03-18,Hypermarket,26521,MGR0228,19.948102,79.223981
ST00042,Dmart Mumbai - Mini-mart 42,Mumbai,Mumbai City,Maharashtra,2006-11-03,Mini-mart,14041,MGR0021,19.143975,72.813558
ST00043,Dmart Nanded - Express 43,Nanded,Nanded,Maharashtra,2011-10-16,Express,4928,MGR0312,19.161097,77.365639
ST00044,Dmart Osmanabad - Mini-mart 44,Osmanabad,Osmanabad,Maharashtra,2023-11-23,Mini-mart,8907,MGR0185,18.167614,76.06423
ST00045,Dmart Aurangabad (Chh. Sambhajinagar) - Hypermarket 45,Aurangabad (Chh. Sambhajinagar),Aurangabad,Maharashtra,2008-06-17,Hypermarket,34326,MGR0093,19.855002,75.321923
ST00046,Dmart Osmanabad - Mini-mart 46,Osmanabad,Osmanabad,Maharashtra,2009-04-22,Mini-mart,7646,MGR0379,18.252616,76.038846
ST00047,Dmart Parbhani - Mini-mart 47,Parbhani,Parbhani,Maharashtra,2014-08-06,Mini-mart,14644,MGR0321,19.275636,76.781267
ST00048,Dmart Navi Mumbai - Express 48,Navi Mumbai,Thane,Maharashtra,2016-09-14,Express,2208,MGR0344,18.974136,73.048001
ST00049,Dmart Ratnagiri - Express 49,Ratnagiri,Ratnagiri,Maharashtra,2014-12-20,Express,1795,MGR0055,17.067821,73.348141
ST00050,Dmart Latur - Express 50,Latur,Latur,Maharashtra,2022-12-03,Express,4282,MGR0102,18.423212,76.495608
ST00051,Dmart Jalgaon - Hypermarket 51,Jalgaon,Jalgaon,Maharashtra,2005-07-13,Hypermarket,46565,MGR0186,21.011321,75.604828
ST00052,Dmart Raigad - Mini-mart 52,Raigad,Raigad,Maharashtra,2007-12-23,Mini-mart,8121,MGR0048,18.454537,73.116233
ST00053,Dmart Ahmednagar - Mini-mart 53,Ahmednagar,Ahmednagar,Maharashtra,2008-09-20,Mini-mart,14294,MGR0134,19.158939,74.791605
ST00054,Dmart Ratnagiri - Mini-mart 54,Ratnagiri,Ratnagiri,Maharashtra,2010-02-26,Mini-mart,10789,MGR0059,17.06418,73.290065
ST00055,Dmart Osmanabad - Express 55,Osmanabad,Osmanabad,Maharashtra,2023-12-10,Express,3435,MGR0312,18.182699,76.022118
ST00056,Dmart Ratnagiri - Express 56,Ratnagiri,Ratnagiri,Maharashtra,2013-02-08,Express,4829,MGR0340,17.016332,73.239507
ST00057,Dmart Ahmednagar - Mini-mart 57,Ahmednagar,Ahmednagar,Maharashtra,2006-06-20,Mini-mart,10900,MGR0330,19.062457,74.742968
ST00058,Dmart Kolhapur - Mini-mart 58,Kolhapur,Kolhapur,Maharashtra,2019-10-15,Mini-mart,10639,MGR0045,16.784526,74.303972
ST00059,Dmart Wardha - Express 59,Wardha,Wardha,Maharashtra,2017-12-01,Express,1872,MGR0266,20.76932,78.536671
ST00060,Dmart Wardha - Hypermarket 60,Wardha,Wardha,Maharashtra,2013-02-24,Hypermarket,56396,MGR0310,20.697013,78.667902
ST00061,Dmart Amravati - Hypermarket 61,Amravati,Amravati,Maharashtra,2007-01-23,Hypermarket,47969,MGR0242,20.985637,77.737768
ST00062,Dmart Amravati - Hypermarket 62,Amravati,Amravati,Maharashtra,2023-12-04,Hypermarket,54729,MGR0309,20.969099,77.833677
ST00063,Dmart Dhule - Hypermarket 63,Dhule,Dhule,Maharashtra,2018-07-15,Hypermarket,26405,MGR0298,20.925002,74.831081
ST00064,Dmart Dhule - Express 64,Dhule,Dhule,Maharashtra,2005-04-03,Express,2175,MGR0284,20.981033,74.792747
ST00065,Dmart Jalgaon - Mini-mart 65,Jalgaon,Jalgaon,Maharashtra,2009-11-13,Mini-mart,6039,MGR0284,20.9554,75.497275
ST00066,Dmart Parbhani - Express 66,Parbhani,Parbhani,Maharashtra,2015-10-07,Express,3104,MGR0254,19.281986,76.703221
ST00067,Dmart Aurangabad (Chh. Sambhajinagar) - Mini-mart 67,Aurangabad (Chh. Sambhajinagar),Aurangabad,Maharashtra,2015-09-07,Mini-mart,9765,MGR0260,19.946695,75.28705
ST00068,Dmart Dhule - Mini-mart 68,Dhule,Dhule,Maharashtra,2007-02-27,Mini-mart,14223,MGR0054,20.868692,74.743653
ST00069,Dmart Satara - Mini-mart 69,Satara,Satara,Maharashtra,2023-05-05,Mini-mart,9607,MGR0164,17.635321,74.032429
ST00070,Dmart Satara - Hypermarket 70,Satara,Satara,Maharashtra,2014-06-04,Hypermarket,36096,MGR0091,17.692093,74.028824
ST00071,Dmart Panvel - Mini-mart 71,Panvel,Raigad,Maharashtra,2016-04-07,Mini-mart,11284,MGR0315,18.997263,73.106527
ST00072,Dmart Jalgaon - Mini-mart 72,Jalgaon,Jalgaon,Maharashtra,2020-09-16,Mini-mart,14655,MGR0354,21.075069,75.563181
ST00073,Dmart Osmanabad - Express 73,Osmanabad,Osmanabad,Maharashtra,2014-11-11,Express,2600,MGR0198,18.124537,75.973429
ST00074,Dmart Buldhana - Hypermarket 74,Buldhana,Buldhana,Maharashtra,2015-05-14,Hypermarket,54469,MGR0070,20.499423,76.219731
ST00075,Dmart Jalna - Express 75,Jalna,Jalna,Maharashtra,2012-05-20,Express,4497,MGR0062,19.857134,75.825548
ST00076,Dmart Jalgaon - Express 76,Jalgaon,Jalgaon,Maharashtra,2013-10-12,Express,4984,MGR0125,21.037726,75.595465
ST00077,Dmart Parbhani - Mini-mart 77,Parbhani,Parbhani,Maharashtra,2017-03-21,Mini-mart,9002,MGR0210,19.2166,76.706545
ST00078,Dmart Latur - Express 78,Latur,Latur,Maharashtra,2008-11-22,Express,3445,MGR0396,18.351455,76.552119
ST00079,Dmart Nanded - Hypermarket 79,Nanded,Nanded,Maharashtra,2005-06-13,Hypermarket,38740,MGR0188,19.082408,77.269948
ST00080,Dmart Aurangabad (Chh. Sambhajinagar) - Hypermarket 80,Aurangabad (Chh. Sambhajinagar),Aurangabad,Maharashtra,2008-04-06,Hypermarket,56748,MGR0196,19.890031,75.342226
ST00081,Dmart Mumbai - Hypermarket 81,Mumbai,Mumbai City,Maharashtra,2021-08-16,Hypermarket,27944,MGR0260,19.103233,72.919764
ST00082,Dmart Satara - Mini-mart 82,Satara,Satara,Maharashtra,2021-05-26,Mini-mart,12693,MGR0337,17.677712,74.06128
ST00083,Dmart Yavatmal - Mini-mart 83,Yavatmal,Yavatmal,Maharashtra,2010-08-04,Mini-mart,9877,MGR0340,20.363295,78.120211
ST00084,Dmart Buldhana - Hypermarket 84,Buldhana,Buldhana,Maharashtra,2023-12-17,Hypermarket,43599,MGR0252,20.477601,76.155117
ST00085,Dmart Kolhapur - Hypermarket 85,Kolhapur,Kolhapur,Maharashtra,2018-06-12,Hypermarket,31706,MGR0123,16.720756,74.16447
ST00086,Dmart Latur - Express 86,Latur,Latur,Maharashtra,2018-12-22,Express,3718,MGR0248,18.405201,76.602229
ST00087,Dmart Ratnagiri - Express 87,Ratnagiri,Ratnagiri,Maharashtra,2016-10-13,Express,4871,MGR0346,16.932657,73.337186
ST00088,Dmart Beed - Mini-mart 88,Beed,Beed,Maharashtra,2012-12-03,Mini-mart,14653,MGR0393,18.955217,75.797501
ST00089,Dmart Bhandara - Mini-mart 89,Bhandara,Bhandara,Maharashtra,2010-01-14,Mini-mart,6042,MGR0311,21.165152,79.729786
ST00090,Dmart Buldhana - Express 90,Buldhana,Buldhana,Maharashtra,2006-10-18,Express,2940,MGR0034,20.538074,76.22923
ST00091,Dmart Solapur - Express 91,Solapur,Solapur,Maharashtra,2006-05-26,Express,1629,MGR0020,17.597385,75.934449
ST00092,Dmart Parbhani - Express 92,Parbhani,Parbhani,Maharashtra,2019-09-11,Express,4529,MGR0320,19.198234,76.717526
ST00093,Dmart Pune - Express 93,Pune,Pune,Maharashtra,2023-07-08,Express,1515,MGR0271,18.445137,73.840917
ST00094,Dmart Yavatmal - Mini-mart 94,Yavatmal,Yavatmal,Maharashtra,2012-11-15,Mini-mart,8291,MGR0139,20.445335,78.088231
ST00095,Dmart Yavatmal - Mini-mart 95,Yavatmal,Yavatmal,Maharashtra,2015-11-24,Mini-mart,7030,MGR0075,20.32237,78.095108
ST00096,Dmart Dhule - Express 96,Dhule,Dhule,Maharashtra,2017-04-21,Express,4995,MGR0163,20.846091,74.78688
ST00097,Dmart Nagpur - Express 97,Nagpur,Nagpur,Maharashtra,2006-05-14,Express,3583,MGR0366,21.145307,79.029699
ST00098,Dmart Pune - Hypermarket 98,Pune,Pune,Maharashtra,2015-01-09,Hypermarket,37788,MGR0181,18.541926,73.831627
ST00099,Dmart Dhule - Express 99,Dhule,Dhule,Maharashtra,2014-07-27,Express,4131,MGR0114,20.967719,74.732516
ST00100,Dmart Chandrapur - Express 100,Chandrapur,Chandrapur,Maharashtra,2023-09-06,Express,3353,MGR0236,19.98605,79.264001
ST00101,Dmart Buldhana - Mini-mart 101,Buldhana,Buldhana,Maharashtra,2011-11-01,Mini-mart,7596,MGR0114,20.539038,76.227616
ST00102,Dmart Panvel - Mini-mart 102,Panvel,Raigad,Maharashtra,2023-12-16,Mini-mart,13748,MGR0270,19.039742,73.181909
ST00103,Dmart Solapur - Hypermarket 103,Solapur,Solapur,Maharashtra,2011-02-12,Hypermarket,52565,MGR0261,17.732756,75.908437
ST00104,Dmart Raigad - Hypermarket 104,Raigad,Raigad,Maharashtra,2019-02-08,Hypermarket,40154,MGR0017,18.475171,73.112685
ST00105,Dmart Bhandara - Mini-mart 105,Bhandara,Bhandara,Maharashtra,2005-01-24,Mini-mart,13111,MGR0045,21.148321,79.581785
ST00106,Dmart Jalna - Hypermarket 106,Jalna,Jalna,Maharashtra,2014-05-07,Hypermarket,49436,MGR0167,19.761266,75.824331
ST00107,Dmart Latur - Hypermarket 107,Latur,Latur,Maharashtra,2010-06-01,Hypermarket,55196,MGR0133,18.397812,76.605293
ST00108,Dmart Dhule - Mini-mart 108,Dhule,Dhule,Maharashtra,2016-03-25,Mini-mart,8061,MGR0192,20.933521,74.73142
ST00109,Dmart Osmanabad - Express 109,Osmanabad,Osmanabad,Maharashtra,2014-06-24,Express,1669,MGR0284,18.130073,75.96948
ST00110,Dmart Kolhapur - Express 110,Kolhapur,Kolhapur,Maharashtra,2022-03-23,Express,1532,MGR0013,16.642701,74.262524
ST00111,Dmart Ahmednagar - Mini-mart 111,Ahmednagar,Ahmednagar,Maharashtra,2018-11-14,Mini-mart,8076,MGR0002,19.151739,74.768659
ST00112,Dmart Dhule - Express 112,Dhule,Dhule,Maharashtra,2010-04-07,Express,4494,MGR0367,20.896913,74.791448
ST00113,Dmart Raigad - Mini-mart 113,Raigad,Raigad,Maharashtra,2007-04-15,Mini-mart,12607,MGR0319,18.531917,73.136817
ST00114,Dmart Jalgaon - Mini-mart 114,Jalgaon,Jalgaon,Maharashtra,2021-01-20,Mini-mart,13409,MGR0139,20.930745,75.509078
ST00115,Dmart Wardha - Express 115,Wardha,Wardha,Maharashtra,2020-04-04,Express,4085,MGR0356,20.760313,78.542364
ST00116,Dmart Parbhani - Mini-mart 116,Parbhani,Parbhani,Maharashtra,2020-07-04,Mini-mart,6542,MGR0396,19.191041,76.682653
ST00117,Dmart Chandrapur - Mini-mart 117,Chandrapur,Chandrapur,Maharashtra,2015-11-03,Mini-mart,9493,MGR0352,19.967292,79.315587
ST00118,Dmart Nagpur - Hypermarket 118,Nagpur,Nagpur,Maharashtra,2007-04-10,Hypermarket,34561,MGR0265,21.199599,79.011106
ST00119,Dmart Thane - Hypermarket 119,Thane,Thane,Maharashtra,2020-04-17,Hypermarket,45849,MGR0244,19.226867,72.961487
ST00120,Dmart Parbhani - Express 120,Parbhani,Parbhani,Maharashtra,2010-10-20,Express,3484,MGR0393,19.257484,76.762333
ST00121,Dmart Palghar - Express 121,Palghar,Palghar,Maharashtra,2013-05-26,Express,3320,MGR0038,19.759245,72.748601
ST00122,Dmart Nagpur - Hypermarket 122,Nagpur,Nagpur,Maharashtra,2010-03-19,Hypermarket,48890,MGR0080,21.203237,79.154213
ST00123,Dmart Aurangabad (Chh. Sambhajinagar) - Mini-mart 123,Aurangabad (Chh. Sambhajinagar),Aurangabad,Maharashtra,2017-11-18,Mini-mart,13919,MGR0152,19.878923,75.381975
ST00124,Dmart Ratnagiri - Express 124,Ratnagiri,Ratnagiri,Maharashtra,2013-02-22,Express,3494,MGR0361,17.052892,73.347696
ST00125,Dmart Jalgaon - Hypermarket 125,Jalgaon,Jalgaon,Maharashtra,2013-01-06,Hypermarket,28495,MGR0391,20.988043,75.59769
ST00126,Dmart Raigad - Mini-mart 126,Raigad,Raigad,Maharashtra,2011-08-16,Mini-mart,11639,MGR0232,18.501262,73.198484
ST00127,Dmart Panvel - Mini-mart 127,Panvel,Raigad,Maharashtra,2011-05-10,Mini-mart,6609,MGR0158,18.930377,73.063559
ST00128,Dmart Amravati - Mini-mart 128,Amravati,Amravati,Maharashtra,2018-03-06,Mini-mart,6213,MGR0040,20.977961,77.840566
ST00129,Dmart Sangli - Hypermarket 129,Sangli,Sangli,Maharashtra,2014-07-02,Hypermarket,34733,MGR0187,16.81391,74.508728
ST00130,Dmart Mumbai - Express 130,Mumbai,Mumbai City,Maharashtra,2017-06-24,Express,3783,MGR0045,19.03639,72.844864
ST00131,Dmart Kolhapur - Express 131,Kolhapur,Kolhapur,Maharashtra,2006-12-17,Express,4655,MGR0392,16.77748,74.174792
ST00132,Dmart Latur - Mini-mart 132,Latur,Latur,Maharashtra,2013-02-23,Mini-mart,8001,MGR0338,18.427481,76.567178
ST00133,Dmart Jalgaon - Mini-mart 133,Jalgaon,Jalgaon,Maharashtra,2007-11-11,Mini-mart,10089,MGR0234,21.045321,75.529965
ST00134,Dmart Buldhana - Mini-mart 134,Buldhana,Buldhana,Maharashtra,2005-10-02,Mini-mart,6998,MGR0083,20.599846,76.120205
ST00135,Dmart Aurangabad (Chh. Sambhajinagar) - Hypermarket 135,Aurangabad (Chh. Sambhajinagar),Aurangabad,Maharashtra,2008-11-17,Hypermarket,56364,MGR0072,19.862371,75.335277
ST00136,Dmart Nagpur - Express 136,Nagpur,Nagpur,Maharashtra,2015-11-21,Express,4479,MGR0136,21.150736,79.047945
ST00137,Dmart Kolhapur - Hypermarket 137,Kolhapur,Kolhapur,Maharashtra,2006-11-01,Hypermarket,33567,MGR0311,16.707826,74.241797
ST00138,Dmart Dhule - Mini-mart 138,Dhule,Dhule,Maharashtra,2011-02-10,Mini-mart,13429,MGR0051,20.97656,74.772025
ST00139,Dmart Nanded - Hypermarket 139,Nanded,Nanded,Maharashtra,2023-03-05,Hypermarket,58362,MGR0102,19.063109,77.260033
ST00140,Dmart Nagpur - Mini-mart 140,Nagpur,Nagpur,Maharashtra,2006-06-27,Mini-mart,14238,MGR0160,21.150902,79.038158
ST00141,Dmart Nanded - Express 141,Nanded,Nanded,Maharashtra,2012-06-23,Express,4095,MGR0061,19.205607,77.295622
ST00142,Dmart Chandrapur - Mini-mart 142,Chandrapur,Chandrapur,Maharashtra,2017-08-02,Mini-mart,6513,MGR0300,20.008482,79.250013
ST00143,Dmart Nashik - Mini-mart 143,Nashik,Nashik,Maharashtra,2019-01-15,Mini-mart,8584,MGR0397,19.962443,73.71973
ST00144,Dmart Akola - Hypermarket 144,Akola,Akola,Maharashtra,2019-08-14,Hypermarket,41039,MGR0157,20.767696,76.979265
ST00145,Dmart Latur - Mini-mart 145,Latur,Latur,Maharashtra,2017-08-02,Mini-mart,8726,MGR0189,18.48081,76.535234
ST00146,Dmart Chandrapur - Mini-mart 146,Chandrapur,Chandrapur,Maharashtra,2016-01-27,Mini-mart,14875,MGR0180,20.024298,79.336039
ST00147,Dmart Solapur - Mini-mart 147,Solapur,Solapur,Maharashtra,2008-04-10,Mini-mart,12758,MGR0379,17.638514,75.944562
ST00148,Dmart Akola - Mini-mart 148,Akola,Akola,Maharashtra,2016-07-20,Mini-mart,7345,MGR0362,20.687288,77.031731
ST00149,Dmart Akola - Mini-mart 149,Akola,Akola,Maharashtra,2009-02-23,Mini-mart,10179,MGR0037,20.726998,77.033083
ST00150,Dmart Osmanabad - Hypermarket 150,Osmanabad,Osmanabad,Maharashtra,2020-03-05,Hypermarket,48201,MGR0311,18.243701,76.001369
ST00151,Dmart Raigad - Hypermarket 151,Raigad,Raigad,Maharashtra,2019-02-08,Hypermarket,48374,MGR0114,18.543758,73.247852
ST00152,Dmart Osmanabad - Mini-mart 152,Osmanabad,Osmanabad,Maharashtra,2019-12-16,Mini-mart,10913,MGR0244,18.146817,76.061977
ST00153,Dmart Navi Mumbai - Express 153,Navi Mumbai,Thane,Maharashtra,2013-09-15,Express,2898,MGR0010,19.01701,73.089717
ST00154,Dmart Palghar - Mini-mart 154,Palghar,Palghar,Maharashtra,2021-11-09,Mini-mart,7588,MGR0129,19.704028,72.763772
ST00155,Dmart Dhule - Mini-mart 155,Dhule,Dhule,Maharashtra,2012-11-26,Mini-mart,13282,MGR0369,20.959132,74.851413
ST00156,Dmart Mumbai - Express 156,Mumbai,Mumbai City,Maharashtra,2006-06-17,Express,4169,MGR0183,19.034436,72.900871
ST00157,Dmart Ratnagiri - Mini-mart 157,Ratnagiri,Ratnagiri,Maharashtra,2011-05-08,Mini-mart,10155,MGR0088,17.044969,73.357691
ST00158,Dmart Panvel - Hypermarket 158,Panvel,Raigad,Maharashtra,2013-10-04,Hypermarket,30869,MGR0335,18.931533,73.161394
ST00159,Dmart Satara - Mini-mart 159,Satara,Satara,Maharashtra,2010-03-26,Mini-mart,10055,MGR0062,17.668148,74.037447
ST00160,Dmart Jalna - Express 160,Jalna,Jalna,Maharashtra,2022-02-16,Express,1743,MGR0316,19.804301,75.947976
ST00161,Dmart Aurangabad (Chh. Sambhajinagar) - Hypermarket 161,Aurangabad (Chh. Sambhajinagar),Aurangabad,Maharashtra,2015-03-05,Hypermarket,48220,MGR0169,19.88455,75.343423
ST00162,Dmart Amravati - Mini-mart 162,Amravati,Amravati,Maharashtra,2005-12-01,Mini-mart,6011,MGR0207,20.872632,77.816055
ST00163,Dmart Pune - Mini-mart 163,Pune,Pune,Maharashtra,2008-06-06,Mini-mart,8672,MGR0021,18.547962,73.833234
ST00164,Dmart Kolhapur - Express 164,Kolhapur,Kolhapur,Maharashtra,2022-05-11,Express,4374,MGR0129,16.744811,74.291522
ST00165,Dmart Nagpur - Express 165,Nagpur,Nagpur,Maharashtra,2015-11-25,Express,2003,MGR0039,21.090364,79.093614
ST00166,Dmart Solapur - Hypermarket 166,Solapur,Solapur,Maharashtra,2006-06-23,Hypermarket,27363,MGR0310,17.585474,75.930761
ST00167,Dmart Osmanabad - Hypermarket 167,Osmanabad,Osmanabad,Maharashtra,2006-11-08,Hypermarket,53809,MGR0329,18.192231,76.092972
ST00168,Dmart Thane - Mini-mart 168,Thane,Thane,Maharashtra,2016-04-09,Mini-mart,10910,MGR0301,19.218969,73.018143
ST00169,Dmart Yavatmal - Mini-mart 169,Yavatmal,Yavatmal,Maharashtra,2016-03-18,Mini-mart,9704,MGR0300,20.327826,78.054157
ST00170,Dmart Kolhapur - Hypermarket 170,Kolhapur,Kolhapur,Maharashtra,2006-05-19,Hypermarket,31170,MGR0396,16.646954,74.267866
ST00171,Dmart Nagpur - Mini-mart 171,Nagpur,Nagpur,Maharashtra,2023-12-26,Mini-mart,7652,MGR0349,21.096568,79.043528
ST00172,Dmart Ahmednagar - Mini-mart 172,Ahmednagar,Ahmednagar,Maharashtra,2005-07-21,Mini-mart,8267,MGR0220,19.147768,74.783285
ST00173,Dmart Dhule - Hypermarket 173,Dhule,Dhule,Maharashtra,2012-06-17,Hypermarket,25930,MGR0104,20.891185,74.816166
ST00174,Dmart Pune - Mini-mart 174,Pune,Pune,Maharashtra,2019-04-04,Mini-mart,7419,MGR0209,18.49076,73.866955
ST00175,Dmart Ratnagiri - Hypermarket 175,Ratnagiri,Ratnagiri,Maharashtra,2005-03-17,Hypermarket,48682,MGR0357,17.017807,73.247514
ST00176,Dmart Nanded - Mini-mart 176,Nanded,Nanded,Maharashtra,2020-12-13,Mini-mart,13470,MGR0024,19.092729,77.334723
ST00177,Dmart Dhule - Mini-mart 177,Dhule,Dhule,Maharashtra,2021-02-12,Mini-mart,6242,MGR0083,20.891837,74.723082
ST00178,Dmart Navi Mumbai - Express 178,Navi Mumbai,Thane,Maharashtra,2011-05-07,Express,2621,MGR0023,19.010179,72.992069
ST00179,Dmart Raigad - Hypermarket 179,Raigad,Raigad,Maharashtra,2005-12-19,Hypermarket,46366,MGR0040,18.452984,73.120652
ST00180,Dmart Dhule - Hypermarket 180,Dhule,Dhule,Maharashtra,2023-10-03,Hypermarket,46684,MGR0328,20.90837,74.854368
ST00181,Dmart Dhule - Mini-mart 181,Dhule,Dhule,Maharashtra,2013-12-03,Mini-mart,6560,MGR0231,20.953191,74.722155
ST00182,Dmart Beed - Mini-mart 182,Beed,Beed,Maharashtra,2010-12-26,Mini-mart,10777,MGR0152,18.972704,75.77366
ST00183,Dmart Ahmednagar - Mini-mart 183,Ahmednagar,Ahmednagar,Maharashtra,2023-02-22,Mini-mart,7951,MGR0346,19.109493,74.726988
ST00184,Dmart Wardha - Mini-mart 184,Wardha,Wardha,Maharashtra,2012-12-22,Mini-mart,13206,MGR0373,20.727939,78.574882
ST00185,Dmart Solapur - Mini-mart 185,Solapur,Solapur,Maharashtra,2010-08-10,Mini-mart,9453,MGR0222,17.631214,75.881717
ST00186,Dmart Navi Mumbai - Hypermarket 186,Navi Mumbai,Thane,Maharashtra,2014-09-27,Hypermarket,38250,MGR0156,18.987326,73.039728
