invoice_id,store_id,product_id,date,quantity,price,discount,payment_mode,customer_id,sales_channel,cashier_id,invoice_amount,gst_amount,return_flag
INV0000035,ST00003,P00233,2024-10-03,1,5416.39,642.16,Card,C036690,In-store,EMP02623,5347.14,572.91,False
INV0000036,ST00161,P01010,2022-01-04,6,776.45,383.7,UPI,C023355,In-store,EMP00761,4488.75,213.75,False
INV0000037,ST00079,P00522,2024-11-16,4,459.75,97.82,UPI,C026793,Online,EMP00603,1950.12,208.94,False
INV0000038,ST00750,P00291,2024-09-02,5,266.36,149.04,Card,C007220,Kiosk,EMP01735,1395.66,212.9,False
INV0000039,ST00464,P00327,2022-12-11,1,3894.51,258.89,UPI,C029654,In-store,EMP02088,3817.4,181.78,False
INV0000040,ST00012,P00943,2023-05-09,-1,2228.85,231.4,UPI,C023250,In-store,EMP00751,-2097.32,99.87,True
INV0000041,ST00779,P00211,2024-03-27,5,272.48,55.51,Wallet,C038450,In-store,EMP02327,1542.13,235.24,False
INV0000042,ST00689,P00748,2022-05-16,7,3880.45,249.11,Cash,C000302,In-store,EMP02698,30143.72,3229.68,False
INV0000043,ST00755,P00305,2022-10-26,6,511.08,60.19,UPI,C009867,In-store,EMP01399,3156.6,150.31,False
INV0000044,ST00172,P00660,2023-05-27,7,4298.52,2010.88,UPI,C017070,Online,EMP01230,33132.94,5054.18,False
INV0000045,ST00919,P00590,2024-06-04,1,309.55,21.19,Card,,Online,EMP02096,322.96,34.6,False
INV0000046,ST00190,P00681,2024-08-12,5,368.77,212.8,Cash,C028108,In-store,EMP02922,1712.6,81.55,False
INV0000047,ST00600,P00250,2023-07-03,5,1155.62,662.22,UPI,C005078,In-store,EMP01428,6036.74,920.86,False
INV0000048,ST00587,P00997,2024-11-15,7,37.42,16.37,UPI,C033576,In-store,EMP00325,289.77,44.2,False
INV0000049,ST00230,P00974,2024-11-26,5,5725.23,2990.12,Cash,C017835,In-store,EMP01676,30250.52,4614.49,False
INV0000050,ST00395,P01022,2022-01-02,6,2319.69,1322.58,UPI,,In-store,EMP02898,13225.34,629.78,False
INV0000051,ST00055,P00547,2023-09-27,7,437.87,222.38,UPI,C024019,In-store,EMP00377,2984.85,142.14,False
INV0000052,ST00495,P00195,2024-12-04,7,1600.3,171.64,Card,C032892,In-store,EMP00141,11581.98,551.52,False
INV0000053,ST00711,P00610,2022-10-17,2,1597.73,312.31,Wallet,C027333,Online,EMP00867,3027.31,144.16,False
INV0000054,ST00325,P00089,2022-12-21,3,203.76,32.43,UPI,C028807,In-store,EMP01230,648.31,69.46,False
INV0000055,ST00565,P00777,2022-12-11,6,255.01,263.3,Card,C035886,In-store,EMP02752,1418.77,152.01,False
INV0000056,ST01002,P00300,2024-02-14,3,4191.77,798.23,UPI,C021950,In-store,EMP01125,13190.33,1413.25,False
INV0000057,ST00247,P00218,2023-04-17,4,433.54,48.47,Cash,,In-store,EMP02275,1769.97,84.28,False
INV0000058,ST00306,P00892,2024-04-05,1,334.61,30.16,Cash,C016144,In-store,EMP02589,340.98,36.53,False
INV0000059,ST00126,P00726,2023-02-01,6,780.7,317.07,Wallet,C018740,Online,EMP02295,5153.21,786.08,False
INV0000060,ST00570,P00107,2024-09-20,4,1424.45,554.11,Card,C021264,In-store,EMP00914,5400.87,257.18,False
INV0000061,ST00215,P00961,2022-10-11,7,789.61,611.6,UPI,C005650,In-store,EMP02771,5800.49,884.82,False
INV0000062,ST00898,P00728,2023-03-26,4,1778.09,1549.63,UPI,,In-store,EMP01365,6564.02,1001.29,False
INV0000063,ST00306,P00297,2024-07-27,2,820.36,107.3,Wallet,C026867,In-store,EMP00838,1610.09,76.67,False
INV0000064,ST00698,P00440,2024-04-19,4,1565.67,116.14,Cash,,In-store,EMP02180,7252.92,1106.38,False
INV0000065,ST00199,P00504,2023-02-13,3,647.69,202.05,Card,C036294,Online,EMP02070,2054.4,313.38,False
INV0000066,ST00339,P01004,2024-01-22,6,1144.99,137.5,UPI,C013673,In-store,EMP02404,7069.06,336.62,False
INV0000067,ST00180,P00610,2023-05-16,3,1631.88,185.01,Card,,In-store,EMP01316,4946.16,235.53,False
INV0000068,ST00581,P00903,2022-12-23,6,1892.81,1036.34,UPI,,In-store,EMP01756,10836.55,516.03,False
INV0000069,ST00030,P00035,2022-11-17,4,256.05,122.19,Cash,,In-store,EMP00644,947.11,45.1,False
INV0000070,ST00088,P00559,2024-06-24,4,76.75,17.45,Card,C012554,In-store,EMP02289,341.67,52.12,False
INV0000071,ST00527,P00094,2024-06-06,1,717.6,41.41,Card,,In-store,EMP01051,797.9,121.71,False
INV0000072,ST00573,P00419,2024-09-04,5,355.68,113.51,Cash,C027201,Online,EMP00193,1964.57,299.68,False
INV0000073,ST00347,P00606,2023-03-11,4,362.7,168.74,Cash,,Kiosk,EMP00766,1346.16,64.1,False
INV0000074,ST00453,P00919,2023-09-14,7,738.26,365.14,Wallet,,In-store,EMP00459,5042.81,240.13,False
INV0000075,ST00438,P00306,2022-04-12,6,1750.86,2.7,Card,,In-store,EMP01230,11027.58,525.12,False
INV0000076,ST00796,P00269,2024-06-16,7,292.63,122.87,Cash,,In-store,EMP02645,2272.14,346.6,False
INV0000077,ST00469,P00937,2022-07-07,3,390.67,92.95,Cash,,In-store,EMP00543,1133.01,53.95,False
INV0000078,ST00891,P00598,2023-11-16,4,27.14,11.24,UPI,C038291,Online,EMP02956,102.19,4.87,False
INV0000079,ST00228,P00800,2024-08-10,2,315.94,1.18,Cash,C013651,In-store,EMP01187,706.38,75.68,False
INV0000080,ST00210,P01025,2024-05-14,4,2369.69,204.54,Cash,,In-store,EMP02381,9737.93,463.71,False
INV0000081,ST00424,P00052,2024-06-14,3,328.52,64.18,Card,C009983,Online,EMP00695,1031.95,110.57,False
INV0000082,ST00086,P00665,2023-11-09,1,1690.96,104.74,Cash,C039294,In-store,EMP01191,1665.53,79.31,False
INV0000083,ST00705,P00083,2024-11-09,1,2543.85,63.58,UPI,C025586,In-store,EMP01362,2926.72,446.45,False
INV0000084,ST00411,P01024,2024-01-30,5,2481.28,457.96,Cash,C018829,Online,EMP00062,12545.86,597.42,False
INV0000085,ST00385,P00485,2023-12-19,5,542.25,230.9,UPI,C008739,In-store,EMP00927,2777.99,297.64,False
INV0000086,ST00561,P00487,2022-02-11,4,2299.9,724.93,Card,C008304,Kiosk,EMP02394,9491.63,1016.96,False
INV0000087,ST00087,P00210,2023-12-03,6,612.96,316.39,Card,C016977,In-store,EMP00292,3529.44,168.07,False
INV0000088,ST00396,P00693,2022-04-16,5,1056.59,65.29,Wallet,C030536,In-store,EMP02414,5843.78,626.12,False
INV0000089,ST01021,P00597,2023-03-04,4,541.87,34.34,UPI,C037064,In-store,EMP00706,2239.8,106.66,False
INV0000090,ST00660,P01035,2023-03-30,2,1678.95,236.15,Card,,In-store,EMP02668,3683.67,561.92,False
INV0000091,ST00603,P00004,2023-03-23,6,815.86,123.5,UPI,,In-store,EMP01865,5630.56,858.9,False
INV0000092,ST00531,P00812,2024-05-15,5,652.71,253.96,Cash,C035075,Online,EMP00193,3160.07,150.48,False
INV0000093,ST00493,P01053,2024-01-29,5,510.37,212.12,Card,,Kiosk,EMP00135,2760.88,421.15,False
INV0000094,ST00984,P00997,2022-03-11,5,38.09,14.23,Card,C034181,In-store,EMP00331,197.37,21.15,False
INV0000095,ST00977,P00688,2023-02-18,3,887.87,96.11,UPI,,In-store,EMP00595,2875.6,308.1,False
INV0000096,ST00430,P00916,2022-01-15,3,75.28,11.08,Cash,C024549,Online,EMP01393,253.42,38.66,False
INV0000097,ST00971,P00046,2024-06-13,6,222.85,154.65,Card,,In-store,EMP00562,1324.34,141.89,False
INV0000098,ST00087,P00086,2022-08-28,1,622.12,80.4,UPI,C035681,Online,EMP02460,606.73,65.01,False
INV0000099,ST00336,P00768,2023-04-11,3,4237.77,171.96,Card,C021040,In-store,EMP02091,14798.79,2257.44,False
INV0000100,ST00318,P00285,2024-07-31,2,486.06,28.37,UPI,C006378,In-store,EMP00855,990.94,47.19,False
INV0000101,ST00733,P00781,2024-03-31,5,451.93,268.94,Card,C012794,In-store,EMP00079,2090.25,99.54,False
INV0000102,ST00637,P00816,2024-08-30,3,1981.9,683.48,UPI,C004935,In-store,EMP02960,5525.33,263.11,False
INV0000103,ST00497,P00735,2023-01-11,4,470.16,96.65,Card,C007980,In-store,EMP00654,1873.19,89.2,False
INV0000104,ST00269,P00980,2022-11-19,3,324.59,8.99,UPI,C023957,Online,EMP01734,1013.02,48.24,False
INV0000105,ST00533,P00239,2023-06-24,1,351.16,29.86,UPI,,In-store,EMP00367,359.86,38.56,False
INV0000106,ST00283,P00883,2024-01-18,3,100.86,15.71,UPI,C010765,In-store,EMP00970,301.21,14.34,False
INV0000107,ST00523,P00882,2024-08-31,5,663.89,346.26,Card,C014473,Online,EMP01046,3121.85,148.66,False
INV0000108,ST00357,P00345,2024-02-10,1,591.07,9.11,Card,C020395,In-store,EMP01572,611.06,29.1,False
INV0000109,ST00934,P00223,2024-09-08,5,1987.9,1928.7,UPI,C021001,In-store,EMP02846,8411.34,400.54,False
INV0000110,ST00784,P00684,2022-01-02,3,683.41,110.0,UPI,,Online,EMP02685,2173.06,232.83,False
INV0000111,ST00185,P00977,2024-08-13,3,973.66,150.21,UPI,C017738,In-store,EMP01630,2909.31,138.54,False
INV0000112,ST00988,P00728,2023-02-15,7,1842.99,55.75,UPI,C038179,In-store,EMP01243,15157.31,2312.13,False
INV0000113,ST00692,P00131,2022-06-17,7,855.93,130.53,UPI,C031824,In-store,EMP00673,6564.3,703.32,False
INV0000114,ST00368,P00482,2022-06-14,5,186.87,44.62,Wallet,C007635,In-store,EMP00072,996.5,106.77,False
INV0000115,ST00557,P00435,2023-03-03,4,443.85,59.2,UPI,,In-store,EMP02619,1922.14,205.94,False
INV0000116,ST00206,P00647,2023-01-15,4,186.83,107.55,Cash,C000200,Online,EMP01636,716.54,76.77,False
INV0000117,ST00050,P00644,2022-03-21,4,5845.24,2082.85,Cash,C008842,In-store,EMP00084,22363.02,1064.91,False
INV0000118,ST00442,P01085,2022-10-18,7,131.17,42.82,Wallet,,In-store,EMP02151,919.14,43.77,False
INV0000119,ST00822,P00927,2023-06-25,3,294.63,87.15,UPI,C028556,In-store,EMP00539,836.58,39.84,False
INV0000120,ST00370,P00600,2022-03-25,2,348.62,1.7,Wallet,C027689,In-store,EMP00048,779.0,83.46,False
INV0000121,ST00404,P00157,2022-11-07,1,286.97,5.86,Card,C013342,Online,EMP00054,314.84,33.73,False
INV0000122,ST01040,P00214,2024-12-16,5,313.06,79.48,UPI,C037513,In-store,EMP02928,1664.12,178.3,False
INV0000123,ST01037,P00189,2024-10-16,4,1801.88,600.86,Wallet,,In-store,EMP02080,7399.46,792.8,False
INV0000124,ST00488,P00555,2023-07-04,2,1438.36,19.63,Wallet,,In-store,EMP00456,3199.94,342.85,False
INV0000125,ST00047,P00170,2023-05-15,1,414.01,13.08,Cash,,In-store,EMP02739,420.98,20.05,False
INV0000126,ST00714,P00194,2022-06-08,2,1459.62,199.66,Wallet,,In-store,EMP02623,3045.93,326.35,False
INV0000127,ST00751,P00166,2024-10-09,6,451.35,77.22,UPI,,In-store,EMP02525,2946.59,315.71,False
INV0000128,ST00960,P00758,2022-09-14,5,779.75,331.27,UPI,,In-store,EMP01035,3745.85,178.37,False
INV0000129,ST00996,P00311,2022-07-04,-2,204.0,11.34,UPI,C013400,Online,EMP00309,-444.26,47.6,True
INV0000130,ST00661,P00993,2022-02-10,5,140.2,14.71,Card,,In-store,EMP01129,768.64,82.35,False
INV0000131,ST00113,P00544,2024-09-05,7,448.01,228.43,UPI,C008872,In-store,EMP00922,3256.56,348.92,False
INV0000132,ST00262,P00744,2022-11-25,2,314.48,23.46,Card,C019291,In-store,EMP00968,635.78,30.28,False
INV0000133,ST00753,P00582,2023-04-07,7,176.31,94.34,UPI,,In-store,EMP02236,1345.0,205.17,False
INV0000134,ST00638,P00966,2022-03-12,6,214.8,20.84,Card,C029845,In-store,EMP01434,1420.12,152.16,False
INV0000135,ST00458,P00142,2022-11-13,7,472.34,602.29,UPI,C007734,In-store,EMP01659,3028.58,324.49,False
INV0000136,ST00422,P00801,2022-09-29,6,111.45,44.8,UPI,C029015,In-store,EMP00857,655.1,31.2,False
INV0000137,ST00746,P00637,2024-12-26,1,2738.82,281.5,UPI,C032570,In-store,EMP02595,2899.64,442.32,False
INV0000138,ST00444,P00482,2023-04-23,7,188.66,124.24,Card,,In-store,EMP02459,1411.73,215.35,False
INV0000139,ST00163,P00769,2022-08-27,2,4054.12,261.22,UPI,C020986,In-store,EMP02704,8239.37,392.35,False
INV0000140,ST01029,P00593,2024-01-07,4,153.67,108.15,UPI,,In-store,EMP02953,567.31,60.78,False
INV0000141,ST00367,P00690,2022-09-18,2,201.78,73.6,UPI,,Online,EMP02652,369.56,39.6,False
INV0000142,ST00293,P00586,2024-07-01,1,22.95,1.82,Card,C009646,Kiosk,EMP02730,22.19,1.06,False
INV0000143,ST00073,P00133,2024-10-13,5,65.21,79.48,Cash,,In-store,EMP01148,290.95,44.38,False
INV0000144,ST00493,P00432,2022-03-02,4,532.2,187.54,Card,,In-store,EMP01247,2038.32,97.06,False
INV0000145,ST01036,P01068,2023-06-06,5,1956.14,444.55,Card,C033186,In-store,EMP00234,11016.66,1680.51,False
INV0000146,ST00168,P00103,2022-09-28,5,3924.33,918.76,UPI,C003580,In-store,EMP01966,20947.24,2244.35,False
INV0000147,ST00257,P00254,2024-07-24,2,933.64,89.96,Cash,,In-store,EMP01998,1866.19,88.87,False
INV0000148,ST00188,P00772,2022-05-29,4,695.46,220.8,UPI,,In-store,EMP01165,2689.09,128.05,False
INV0000149,ST00099,P00165,2023-03-26,6,2583.54,2398.64,Cash,C005596,Online,EMP02363,15461.07,2358.47,False
INV0000150,ST00634,P00052,2023-01-17,3,326.46,73.37,UPI,C011680,In-store,EMP01546,1014.73,108.72,False
INV0000151,ST00314,P00842,2023-05-31,7,2958.5,2361.04,Cash,C003211,In-store,EMP02840,21651.18,3302.72,False
INV0000152,ST00789,P00225,2022-07-13,6,2985.91,1462.62,UPI,,Online,EMP01594,17275.48,822.64,False
INV0000153,ST00421,P00243,2022-05-14,7,688.8,57.19,Cash,C035518,In-store,EMP01934,5002.63,238.22,False
INV0000154,ST00669,P00500,2022-09-15,-2,512.89,82.97,Cash,,In-store,EMP02395,-1112.52,169.71,True
INV0000155,ST00094,P00930,2024-01-17,1,188.28,5.37,Wallet,C013132,In-store,EMP02822,204.86,21.95,False
INV0000156,ST00346,P01086,2024-10-02,6,1277.38,169.13,UPI,C038189,In-store,EMP00060,8394.57,899.42,False
INV0000157,ST00435,P00289,2024-11-24,7,790.56,89.32,Cash,C007397,In-store,EMP00858,5716.83,272.23,False
INV0000158,ST00063,P00338,2023-12-04,7,267.57,20.12,UPI,C008522,In-store,EMP01501,2075.21,222.34,False
INV0000159,ST00441,P00569,2022-01-12,3,573.76,169.77,UPI,C012974,In-store,EMP00933,1737.69,186.18,False
INV0000160,ST00494,P00875,2024-08-07,2,586.66,129.45,UPI,C030891,Online,EMP02194,1231.77,187.9,False
INV0000161,ST00425,P00076,2024-10-02,2,896.9,136.2,UPI,C037590,In-store,EMP00684,1856.51,198.91,False
INV0000162,ST00530,P00462,2023-08-19,7,356.98,40.52,UPI,C008106,In-store,EMP00009,2581.26,122.92,False
INV0000163,ST00838,P00115,2023-08-30,5,1003.8,507.62,UPI,C002634,In-store,EMP00981,4736.95,225.57,False
INV0000164,ST00810,P00244,2024-06-17,3,909.06,145.98,UPI,,Online,EMP02013,2710.26,129.06,False
INV0000165,ST00015,P00691,2023-01-20,4,4176.44,1253.63,Card,C008952,Online,EMP02764,16224.74,772.61,False
INV0000166,ST00673,P00030,2023-01-19,2,177.56,24.64,UPI,C000569,In-store,EMP01271,370.14,39.66,False
INV0000167,ST00950,P00949,2024-03-28,4,554.24,202.29,Card,C019211,In-store,EMP00772,2115.4,100.73,False
INV0000168,ST00915,P00098,2022-09-25,6,2281.01,1714.56,UPI,C018413,In-store,EMP00428,14126.37,2154.87,False
INV0000169,ST00340,P00906,2024-06-26,5,352.68,51.32,Cash,,In-store,EMP01303,1797.68,85.6,False
INV0000170,ST00823,P00459,2023-08-25,3,769.58,85.19,UPI,C013991,In-store,EMP02355,2334.73,111.18,False
INV0000171,ST00842,P00621,2022-12-01,7,4344.45,3450.78,Card,C024436,In-store,EMP02696,28308.39,1348.02,False
INV0000172,ST00385,P00441,2024-10-29,3,315.42,71.65,UPI,C008287,Kiosk,EMP00882,979.56,104.95,False
INV0000173,ST00913,P00406,2022-06-09,5,3460.23,291.43,Card,,In-store,EMP02020,20071.47,3061.75,False
INV0000174,ST00664,P00689,2024-07-04,5,908.17,54.52,UPI,C038220,Kiosk,EMP02988,4710.65,224.32,False
INV0000175,ST00789,P00349,2023-08-06,2,280.82,95.14,Cash,C023293,In-store,EMP00433,522.48,55.98,False
INV0000176,ST00785,P00069,2022-09-24,3,1829.68,265.9,Wallet,,In-store,EMP02861,5484.3,261.16,False
INV0000177,ST00821,P00013,2023-11-07,3,234.73,9.98,Wallet,,In-store,EMP02465,777.52,83.31,False
INV0000178,ST01005,P00313,2024-11-12,1,1272.31,123.03,Wallet,C019659,In-store,EMP01961,1206.74,57.46,False
INV0000179,ST00901,P00242,2022-07-09,5,3620.02,1552.38,Cash,,In-store,EMP01622,17375.11,827.39,False
INV0000180,ST00444,P00026,2023-07-30,5,179.72,134.74,UPI,C000350,In-store,EMP01170,802.05,38.19,False
INV0000181,ST00591,P00110,2024-02-15,3,800.06,260.91,Cash,C004156,Kiosk,EMP00967,2395.98,256.71,False
INV0000182,ST00681,P00960,2023-04-07,6,1058.89,210.7,UPI,C003595,In-store,EMP02165,6449.77,307.13,False
INV0000183,ST00900,P00546,2022-09-09,6,1136.33,815.08,Card,C018938,In-store,EMP02118,6723.25,720.35,False
INV0000184,ST00413,P00438,2022-11-12,2,513.83,67.62,UPI,C029026,In-store,EMP01813,1132.85,172.81,False
INV0000185,ST00329,P01010,2023-04-02,2,770.77,113.77,Cash,C017871,In-store,EMP00643,1599.1,171.33,False
INV0000186,ST00775,P00643,2023-11-19,4,507.02,324.95,Card,,In-store,EMP02289,1907.51,204.38,False
INV0000187,ST01002,P00140,2023-10-18,6,998.84,544.86,UPI,,In-store,EMP00735,6101.96,653.78,False
INV0000188,ST00958,P00782,2023-09-27,5,1331.89,229.07,UPI,,In-store,EMP02796,6751.9,321.52,False
INV0000189,ST00156,P00781,2023-02-03,1,458.66,2.4,UPI,C005497,In-store,EMP01012,479.07,22.81,False
INV0000190,ST00966,P00295,2024-06-23,4,631.92,158.53,Cash,C031346,Online,EMP00667,2487.61,118.46,False
INV0000191,ST00829,P00738,2023-05-01,4,1328.84,401.54,Card,,In-store,EMP01942,5798.31,884.49,False
INV0000192,ST00165,P00149,2024-09-29,4,1790.68,1734.04,Cash,C038003,Online,EMP01010,6405.84,977.16,False
INV0000193,ST00007,P01090,2022-12-15,4,138.51,22.31,Card,C005009,Online,EMP01375,595.54,63.81,False
INV0000194,ST00215,P00639,2024-03-29,5,690.93,364.2,UPI,C007965,In-store,EMP00370,3244.97,154.52,False
INV0000195,ST00976,P00312,2023-09-02,2,201.29,33.7,Cash,C030910,In-store,EMP00004,435.28,66.4,False
INV0000196,ST00793,P00994,2022-07-22,5,408.39,27.57,UPI,C029965,In-store,EMP00723,2115.1,100.72,False
INV0000197,ST00605,P00558,2022-04-08,2,5853.83,1195.49,Card,C012356,In-store,EMP01467,11037.78,525.61,False
INV0000198,ST00663,P00982,2022-05-26,1,952.25,45.06,Card,,Online,EMP01436,952.55,45.36,False
INV0000199,ST00434,P00104,2023-05-29,1,1536.25,9.45,UPI,C005752,In-store,EMP02571,1710.02,183.22,False
INV0000200,ST00951,P00340,2023-08-11,6,557.27,337.71,UPI,,In-store,EMP00351,3156.21,150.3,False
INV0000201,ST00165,P00474,2024-01-10,4,2533.83,596.03,Cash,C003723,Online,EMP00601,10016.25,476.96,False
INV0000202,ST00330,P00293,2022-06-18,1,927.63,49.6,UPI,C023004,In-store,EMP01291,983.39,105.36,False
INV0000203,ST00211,P00571,2022-07-22,2,1194.38,118.88,UPI,C007521,In-store,EMP00542,2383.37,113.49,False
INV0000204,ST00891,P00389,2023-11-08,2,2768.02,266.51,Card,C031155,In-store,EMP01864,6218.05,948.52,False
INV0000205,ST00568,P00973,2023-09-25,6,755.85,118.6,Cash,,In-store,EMP02926,4637.32,220.82,False
INV0000206,ST00718,P00270,2022-06-27,1,544.05,30.76,Cash,C001897,In-store,EMP01015,574.88,61.59,False
INV0000207,ST00966,P00209,2023-10-01,3,885.14,434.03,Card,C029233,Online,EMP00443,2487.96,266.57,False
INV0000208,ST00206,P01061,2022-09-12,5,645.49,73.65,UPI,C011645,In-store,EMP00956,3532.26,378.46,False
INV0000209,ST01013,P00785,2022-12-03,2,170.43,37.48,UPI,,In-store,EMP01539,318.55,15.17,False
INV0000210,ST00133,P00039,2022-04-02,6,458.46,284.96,UPI,C011470,In-store,EMP02229,2589.09,123.29,False
INV0000211,ST00793,P00933,2022-03-17,1,239.98,6.3,Wallet,C002727,Online,EMP01998,245.36,11.68,False
INV0000212,ST00738,P00211,2024-07-06,2,276.15,61.0,Card,C033309,In-store,EMP00299,515.86,24.56,False
INV0000213,ST00867,P00752,2024-11-14,5,1209.1,215.32,Card,,Online,EMP00673,6121.69,291.51,False
INV0000214,ST00167,P00032,2023-10-09,1,833.89,8.47,UPI,C032090,In-store,EMP01796,924.47,99.05,False
INV0000215,ST01008,P00286,2022-04-17,5,589.59,282.5,UPI,C034711,In-store,EMP00503,2798.72,133.27,False
INV0000216,ST00835,P00940,2023-01-15,3,1879.04,1049.82,UPI,,In-store,EMP00444,5137.78,550.48,False
INV0000217,ST00117,P00029,2023-01-22,1,1570.42,382.34,Card,C022731,In-store,EMP00812,1330.65,142.57,False
INV0000218,ST00585,P00519,2023-03-11,5,3940.03,505.65,UPI,C001389,In-store,EMP01417,21497.84,2303.34,False
INV0000219,ST00859,P00439,2022-07-21,6,3880.23,600.91,Cash,C036873,Kiosk,EMP01971,23814.49,1134.02,False
INV0000220,ST00501,P00251,2022-05-28,3,804.43,267.23,Card,C009742,Kiosk,EMP02833,2253.36,107.3,False
INV0000221,ST00400,P00131,2024-10-06,7,868.61,441.85,Card,C026791,In-store,EMP00627,6315.03,676.61,False
INV0000222,ST00290,P00435,2024-07-18,3,445.53,105.4,Card,C016693,Online,EMP00190,1378.93,147.74,False
INV0000223,ST00542,P00404,2022-02-28,1,2171.49,0.22,Card,C020204,In-store,EMP00443,2279.83,108.56,False
INV0000224,ST01034,P00117,2022-12-01,3,258.66,78.96,UPI,,In-store,EMP01874,822.48,125.46,False
INV0000225,ST00638,P00786,2022-05-28,1,268.95,29.02,Wallet,,Online,EMP02495,283.12,43.19,False
INV0000226,ST00759,P00119,2022-03-20,2,251.37,51.22,Card,,In-store,EMP01823,532.79,81.27,False
INV0000227,ST00819,P00421,2023-12-09,2,5247.56,689.01,UPI,,In-store,EMP01160,10296.42,490.31,False
INV0000228,ST00817,P01042,2023-01-29,2,279.64,124.11,Card,,In-store,EMP00377,513.5,78.33,False
INV0000229,ST00421,P00409,2023-08-25,1,388.28,35.67,UPI,,In-store,EMP02085,394.92,42.31,False
INV0000230,ST00808,P00766,2022-09-24,4,2794.07,436.34,UPI,,In-store,EMP00099,11276.94,537.0,False
